,GHI_project,Protected_Land_project,Habitat_project,Slope_project,Population_Density_project,Distance_to_Substation_project,Land_Cover_project,Wattage,GEOID_project,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,State,County Name,GHI_bg,Protected_Land_bg,Habitat_bg,Slope_bg,Population_Density_bg,Distance_to_Substation_bg,Land_Cover_bg,GEOID_bg
0,5.0,76.16214096657191,66.12685030879325,78.11330335122588,11.896878646441074,77.08999117733555,66.79457420571595,2.1,250092072001,25,009,207200,1,Massachusetts,Essex,5.0,90.57291666666669,88.54166666666667,100.0,10.0,75.3125,71.34567901234568,250092072001
1,90.0,63.03744730908734,53.76580727379669,58.35408293304578,100.0,78.43642780119596,90.08910891089108,20.0,060710103004,06,071,010300,4,California,San Bernardino,90.0,91.92360397396368,56.11510791366906,98.14114422747517,100.0,70.95580678314491,90.26139088729016,060710103004
2,90.0,63.03744730908734,53.76580727379669,58.35408293304578,100.0,78.43642780119596,90.08910891089108,13.8,060710103004,06,071,010300,4,California,San Bernardino,90.0,91.92360397396368,56.11510791366906,98.14114422747517,100.0,70.95580678314491,90.26139088729016,060710103004
3,90.0,57.26497402215469,43.30359768650133,96.5155376923831,100.0,55.48034506420939,90.63523184001568,80.0,060710116021,06,071,011602,1,California,San Bernardino,90.0,53.48128728982101,47.44456862970694,75.6943837215036,100.0,55.2184382242238,90.33096102956888,060710116021
4,90.0,58.406038623664344,43.68885403391824,95.2358592294873,100.0,53.5266150377414,90.95725909224586,88.0,060710116021,06,071,011602,1,California,San Bernardino,90.0,53.48128728982101,47.44456862970694,75.6943837215036,100.0,55.2184382242238,90.33096102956888,060710116021
5,89.53435937653171,98.43152632094892,46.36947358102147,75.86815018135476,64.74120184295657,70.66218998137437,88.61925301441035,3.0,040250003021,04,025,000302,1,Arizona,Yavapai,90.0,100.0,47.74624373956594,76.7195325542571,72.79632721202003,87.40400667779633,83.8313856427379,040250003021
6,88.89716694441721,79.1922360552887,53.4555435741594,70.4550534261347,100.0,81.22537006175865,89.40025487697285,68.5,320030057032,32,003,005703,2,Nevada,Clark,89.86799679344438,41.75354057183576,53.07909503874588,44.27355482319408,99.96927050859534,60.27923755232921,88.19823639440634,320030057032
7,85.0,81.37241446916968,63.581021468483485,100.0,100.0,66.72434075090678,89.18439368689344,7.7,080039600001,08,003,960000,1,Colorado,Alamosa,85.0,97.46244069583553,60.45137058513442,100.0,100.0,78.08711122825514,88.93634686346863,080039600001
8,90.0,77.31840015684737,72.15076953239878,79.52563474169199,55.93961376335653,80.37006175865112,85.70385256347417,14.0,320030060011,32,003,006001,1,Nevada,Clark,90.0,97.9867256637168,89.62389380530973,99.02654867256638,22.67699115044248,90.0,80.4424778761062,320030060011
9,80.02989902950691,90.27448289383392,46.00186256249387,100.0,87.6203313400647,51.39937261052838,85.29781393980983,5.0,060190083013,06,019,008301,3,California,Fresno,80.55329949238579,99.57360406091372,28.16243654822335,100.0,30.36040609137056,50.0,81.9725888324873,060190083013
10,90.0,78.57759043231056,82.46005293598667,92.06587589452016,100.0,79.47799235369081,92.97245368101169,295.6,040137233052,04,013,723305,2,Arizona,Maricopa,90.0,66.54781865404215,83.47618108294704,93.82019923069336,99.89939836275768,66.58907847585232,92.09077160798238,040137233052
11,68.43985883736889,98.37711989020684,77.66787569846093,99.10900892069404,23.47809038329575,71.05430840113715,78.89755906283698,1.0,060190054081,06,019,005408,1,California,Fresno,55.0,99.59183673469389,73.16326530612245,100.0,10.0,75.0,82.25170068027211,060190054081
12,78.68885403391825,97.6487599254975,90.84599549063816,81.39819625526908,13.220272522301736,90.08283501617488,75.12969316733654,0.8,060375304001,06,037,530400,1,California,Los Angeles,85.0,100.0,95.0,65.3529411764706,10.0,90.0,75.0,060375304001
13,20.0,96.21213606509166,68.68346240564651,97.43280070581316,86.28467797274777,88.13792765415155,87.77913930006862,1.9,080319800011,08,031,980001,1,Colorado,Denver,20.0,99.99497655726724,74.04722036168788,95.26691225720027,98.89484259879436,83.72572002679169,86.36135298057602,080319800011
14,90.0,97.71002842858545,71.60817566905206,97.18155082835015,96.25281835114204,51.72041956670915,89.91941966473875,1.2,060379001021,06,037,900102,1,California,Los Angeles,90.0,83.3528255988024,60.26057260479042,92.39857784431138,99.79790419161677,50.20583832335329,89.66972305389221,060379001021
15,55.0,96.98656994412312,32.9457896284678,89.80021566513086,88.53004607391432,76.00235271051858,95.15380845015194,1.0,060670086021,06,067,008602,1,California,Sacramento,55.0,98.24549426542872,31.5797378481704,87.74986346258875,99.39377389404696,70.14609503003823,95.98935008192244,060670086021
