,GHI_project,Protected_Land_project,Habitat_project,Slope_project,Population_Density_project,Distance_to_Substation_project,Land_Cover_project,Wattage,GEOID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,State,County Name,GHI_county,Protected_Land_county,Habitat_county,Slope_county,Population_Density_county,Distance_to_Substation_county,Land_Cover_county
0,5.0,76.16214096657191,66.12685030879325,78.11330335122588,11.896878646441074,77.08999117733555,66.79457420571595,2.1,250092072001,25,009,207200,1,Massachusetts,Essex,5.0,83.19785827224378,54.86272818743711,80.55993031358885,14.648011965598904,68.28374299266926,58.76100049776008
1,90.0,63.03744730908734,53.76580727379669,58.35408293304578,100.0,78.43642780119596,90.08910891089108,20.0,060710103004,06,071,010300,4,California,San Bernardino,89.82616200469953,54.12951846010236,58.50577783500177,60.2028679949786,95.89749171146232,53.943569543245246,90.17938568255704
2,90.0,63.03744730908734,53.76580727379669,58.35408293304578,100.0,78.43642780119596,90.08910891089108,13.8,060710103004,06,071,010300,4,California,San Bernardino,89.82616200469953,54.12951846010236,58.50577783500177,60.2028679949786,95.89749171146232,53.943569543245246,90.17938568255704
3,90.0,57.26497402215469,43.30359768650133,96.5155376923831,100.0,55.48034506420939,90.63523184001568,80.0,060710116021,06,071,011602,1,California,San Bernardino,89.82616200469953,54.12951846010236,58.50577783500177,60.2028679949786,95.89749171146232,53.943569543245246,90.17938568255704
4,90.0,58.406038623664344,43.68885403391824,95.2358592294873,100.0,53.5266150377414,90.95725909224586,88.0,060710116021,06,071,011602,1,California,San Bernardino,89.82616200469953,54.12951846010236,58.50577783500177,60.2028679949786,95.89749171146232,53.943569543245246,90.17938568255704
5,89.53435937653171,98.43152632094892,46.36947358102147,75.86815018135476,64.74120184295657,70.66218998137437,88.61925301441035,3.0,040250003021,04,025,000302,1,Arizona,Yavapai,89.70838707097367,67.0368015356468,45.15611409375843,34.094244323805526,97.55573218159824,52.417473980984376,82.76014316707158
6,88.89716694441721,79.1922360552887,53.4555435741594,70.4550534261347,100.0,81.22537006175865,89.40025487697285,68.5,320030057032,32,003,005703,2,Nevada,Clark,89.66927558463392,44.22413258803888,54.45927415137535,46.13297153238583,93.91058790717132,58.546307809709745,87.16301766781714
7,85.0,81.37241446916968,63.581021468483485,100.0,100.0,66.72434075090678,89.18439368689344,7.7,080039600001,08,003,960000,1,Colorado,Alamosa,84.0862959965133,69.83925865969326,59.38577921673619,89.74522134362742,97.3834132370338,54.65931967706452,83.64491625677105
8,90.0,77.31840015684737,72.15076953239878,79.52563474169199,55.93961376335653,80.37006175865112,85.70385256347417,14.0,320030060011,32,003,006001,1,Nevada,Clark,89.66927558463392,44.22413258803888,54.45927415137535,46.13297153238583,93.91058790717132,58.546307809709745,87.16301766781714
9,80.02989902950691,90.27448289383392,46.00186256249387,100.0,87.6203313400647,51.39937261052838,85.29781393980983,5.0,060190083013,06,019,008301,3,California,Fresno,73.19742220792385,70.21577774203185,53.645203790089695,45.42768471070055,93.66619175647833,61.53642382415046,81.49411085833633
10,90.0,78.57759043231056,82.46005293598667,92.06587589452016,100.0,79.47799235369081,92.97245368101169,295.6,040137233052,04,013,723305,2,Arizona,Maricopa,90.0,73.31644988745377,69.41199356464108,70.31728060740501,85.3388998926229,60.85362823287003,88.53259124769421
11,68.43985883736889,98.37711989020684,77.66787569846093,99.10900892069404,23.47809038329575,71.05430840113715,78.89755906283698,1.0,060190054081,06,019,005408,1,California,Fresno,73.19742220792385,70.21577774203185,53.645203790089695,45.42768471070055,93.66619175647833,61.53642382415046,81.49411085833633
12,78.68885403391825,97.6487599254975,90.84599549063816,81.39819625526908,13.220272522301736,90.08283501617488,75.12969316733654,0.8,060375304001,06,037,530400,1,California,Los Angeles,82.54512346420138,75.83544575383613,53.570341616140745,44.60475407409186,64.30776003521831,70.93187543208602,82.95306742206911
