state,county,GDPpercapita,Population Estimate
Texas,Loving,120097.35,51
Texas,McMullen,1960.16,576
Texas,Glasscock,1861.93,1164
Texas,Martin,1337.95,5217
Texas,Upton,1251.21,3152
Texas,Culberson,1161.44,2155
Texas,Reagan,850.8,3135
Nevada,Eureka,743.97,1863
Texas,Reeves,737.08,12905
Texas,Borden,726.99,585
Texas,Kenedy,720.49,358
Nevada,Storey,571.5,4170
Texas,Irion,484.21,1530
Idaho,Butte,483.05,2684
New York,New York,480.37,1596273
Texas,La Salle,431.27,6604
Texas,Karnes,366.36,14836
North Dakota,Dunn,310.02,4015
Texas,King,310,233
California,San Francisco,296.49,808437
Texas,Dimmit,278.49,8387
Texas,Hutchinson,265.32,20215
Texas,Ward,262.37,10964
Oregon,Sherman,244.22,1955
North Dakota,Mckenzie,234.83,13908
North Dakota,Sargent,234.35,3795
Louisiana,Cameron,225.97,4902
California,San Mateo,224.08,729181
Texas,Roberts,221.77,803
District of Columbia,District of Columbia,212.38,671803
California,Santa Clara,206.21,1870945
Arizona,Greenlee,205.48,9302
Texas,Crockett,197.62,2943
Texas,Kent,193.35,740
Texas,Yoakum,192.96,7451
Texas,Winkler,192.41,7306
Massachusetts,Suffolk,189.22,766381
Georgia,Chattahoochee,188.91,8819
North Dakota,Mountrail,187.91,9290
Texas,Howard,182.31,33672
Texas,Oldham,178.28,1752
Georgia,Fulton,177.86,1074634
Texas,Calhoun,173.21,19706
Kentucky,Carroll,173.19,10938
Virginia,Surry,167.17,6527
North Dakota,Billings,166.44,1018
Virginia,Arlington,166.4,234000
Texas,Lipscomb,165.99,2854
Texas,Sherman,164.39,2799
Indiana,Posey,164.38,25063
Texas,De Witt,164.26,19772
Texas,Carson,161.51,5784
Texas,Sterling,158.38,1417
Texas,Andrews,157.8,18334
Washington,King,157.5,2266789
Colorado,Cheyenne,154.75,1732
Wyoming,Teton,154.23,23287
Texas,Pecos,152.68,14735
Nevada,Lander,148.43,5766
Minnesota,Pennington,146.95,13845
Colorado,Pitkin,146.92,16876
Louisiana,St Charles,146.65,50998
West Virginia,Tyler,141.56,8183
Texas,Midland,140.12,171999
Oregon,Gilliam,137.62,2018
Texas,Hemphill,134.54,3217
Texas,Moore,132.74,20996
New Mexico,Los Alamos,131.25,19187
Texas,Somervell,131.14,9757
Texas,Hartley,129.47,5208
Oklahoma,Blaine,127.49,8409
Texas,Robertson,127.09,17153
Texas,Gonzales,126.84,19832
Colorado,Denver,126.36,713252
Texas,Crane,124.13,4546
North Dakota,Oliver,124.07,1856
Oklahoma,Ellis,123.24,3657
Oklahoma,Dewey,122.98,4401
Virginia,Goochland,122.59,26109
Colorado,Broomfield,121.12,76121
North Dakota,Williams,120.81,38109
New Jersey,Somerset,120.27,346875
California,Marin,118.58,256018
Oklahoma,Kingfisher,116.72,15293
Massachusetts,Middlesex,116.69,1617105
Nebraska,Perkins,116.62,2829
Georgia,Burke,116.61,24388
Minnesota,Hennepin,116.27,1260121
North Carolina,Durham,116,332680
Indiana,Martin,115.81,9803
Colorado,Gilpin,113.27,5891
New Jersey,Morris,113.13,511151
Tennessee,Davidson,112.88,708144
Pennsylvania,Montour,112.74,18091
Texas,Live Oak,111.6,11428
North Carolina,Mecklenburg,111.31,1145392
Texas,San Augustine,110.7,7857
Kansas,Greeley,110.6,1223
Louisiana,St James,110.45,19423
Texas,Terrell,110.09,693
New York,Albany,109.43,315811
Texas,Dallas,109.01,2600840
Louisiana,Plaquemines,108.77,22516
South Dakota,Hyde,108.26,1184
New Jersey,Mercer,107.6,380688
Utah,Emery,107.24,10099
Virginia,Richmond City,107.2,229395
Indiana,Gibson,106.88,32993
Wyoming,Sublette,106.85,8763
Oregon,Morrow,106.49,12300
Nebraska,Dundy,106,1590
Texas,Travis,105.55,1326436
Illinois,Du Page,105.25,920901
Kansas,Clark,105.04,1933
Nebraska,Hayes,104.65,849
Tennessee,Williamson,104.62,260815
Kansas,Stanton,103.76,1963
Texas,Panola,103.64,22677
Missouri,St Louis City,103.43,286578
South Dakota,Union,103.18,17063
New Mexico,Eddy,103.11,60400
Indiana,Marion,102.37,969466
Montana,Liberty,102.31,1972
North Dakota,Mercer,102.12,8333
Wyoming,Campbell,102.1,47058
Texas,Stonewall,101.26,1182
South Dakota,Jerauld,100.53,1650
Texas,Parmer,100.51,9620
Nebraska,Nemaha,99.76,7035
Nebraska,Wheeler,99.64,785
Utah,Summit,98.29,43036
Pennsylvania,Montgomery,98.1,864683
Ohio,Hamilton,98.08,825037
Iowa,Polk,97.63,501089
Kansas,Gray,97.55,5729
Idaho,Caribou,96.64,7190
Oklahoma,Texas,96.62,20495
Oklahoma,Roger Mills,96.14,3320
Virginia,Alexandria City,95.77,155525
Massachusetts,Nantucket,95.58,14421
Kansas,Wichita,95.18,2064
Colorado,Boulder,95.17,327468
Colorado,San Miguel,94.35,8003
Texas,Cochran,93.75,2526
Colorado,Summit,93.63,30565
Georgia,Heard,93.38,11725
Texas,Foard,93.21,1057
Virginia,Henrico,92.54,333962
North Dakota,Cavalier,92.37,3597
Texas,Dallam,92.26,7241
Utah,Salt Lake,92.15,1186257
Wyoming,Converse,92.01,13786
New Jersey,Salem,92,65117
Louisiana,Red River,91.88,7420
Texas,Castro,91.17,7298
Iowa,Louisa,91.08,10677
Nebraska,Phelps,91.01,8988
Illinois,Lake,90.85,709150
Nebraska,Antelope,90.81,6293
Kentucky,Boone,90.5,139093
Indiana,Elkhart,90.49,206890
Kansas,Coffey,90.48,8280
Delaware,New Castle,90.42,575494
Utah,Daggett,90.23,1014
Nebraska,Chase,89.93,3772
Texas,Hansford,89.57,5151
California,Alameda,89.38,1628997
California,Alpine,89.32,1190
