State,County Name,FIPS State,FIPS County
Alabama,Colbert,01,033
Alabama,Jackson,01,071
Alabama,Lauderdale,01,077
Alabama,Limestone,01,083
Alabama,Madison,01,089
Arizona,Graham,04,009
Colorado,Cheyenne,08,017
Colorado,Dolores,08,033
Colorado,Kit Carson,08,063
Colorado,Logan,08,075
Colorado,Montezuma,08,083
Colorado,Morgan,08,087
Colorado,Ouray,08,091
Colorado,Phillips,08,095
Colorado,San Miguel,08,113
Colorado,Sedgwick,08,115
Colorado,Washington,08,121
Colorado,Yuma,08,125
Connecticut,Fairfield,09,001
Connecticut,Hartford,09,003
Connecticut,Litchfield,09,005
Connecticut,Middlesex,09,007
Connecticut,New Haven,09,009
Connecticut,New London,09,011
Connecticut,Tolland,09,013
Connecticut,Windham,09,015
District of Columbia,District of Columbia,11,001
District of Columbia,Montgomery,11,031
Georgia,Fannin,13,111
Georgia,Quitman,13,239
Georgia,Randolph,13,243
Idaho,Boundary,16,021
Indiana,Ohio,18,115
Indiana,Whitley,18,183
Kansas,Barber,20,007
Kansas,Barton,20,009
Kansas,Cheyenne,20,023
Kansas,Clark,20,025
Kansas,Comanche,20,033
Kansas,Decatur,20,039
Kansas,Edwards,20,047
Kansas,Ellis,20,051
Kansas,Ellsworth,20,053
Kansas,Finney,20,055
Kansas,Ford,20,057
Kansas,Gove,20,063
Kansas,Graham,20,065
Kansas,Grant,20,067
Kansas,Gray,20,069
Kansas,Greeley,20,071
Kansas,Hamilton,20,075
Kansas,Harper,20,077
Kansas,Haskell,20,081
Kansas,Hodgeman,20,083
Kansas,Jewell,20,089
Kansas,Kearny,20,093
Kansas,Kiowa,20,097
Kansas,Lane,20,101
Kansas,Logan,20,109
Kansas,Meade,20,119
Kansas,Mitchell,20,123
Kansas,Morton,20,129
Kansas,Ness,20,135
Kansas,Norton,20,137
Kansas,Osborne,20,141
Kansas,Pawnee,20,145
Kansas,Phillips,20,147
Kansas,Pratt,20,151
Kansas,Rawlins,20,153
Kansas,Republic,20,157
Kansas,Rooks,20,163
Kansas,Rush,20,165
Kansas,Russell,20,167
Kansas,Scott,20,171
Kansas,Seward,20,175
Kansas,Sheridan,20,179
Kansas,Sherman,20,181
Kansas,Smith,20,183
Kansas,Stafford,20,185
Kansas,Stanton,20,187
Kansas,Stevens,20,189
Kansas,Thomas,20,193
Kansas,Trego,20,195
Kansas,Wallace,20,199
Kansas,Wichita,20,203
Kentucky,Allen,21,003
Kentucky,Breckinridge,21,027
Kentucky,Butler,21,031
Kentucky,Calloway,21,035
Kentucky,Clinton,21,053
Kentucky,Cumberland,21,057
Kentucky,Elliott,21,063
Kentucky,Graves,21,083
Kentucky,Hancock,21,091
Kentucky,Jackson,21,109
Kentucky,Logan,21,141
Kentucky,Marshall,21,157
Kentucky,Metcalfe,21,169
Kentucky,Monroe,21,171
Kentucky,Powell,21,197
Kentucky,Simpson,21,213
Kentucky,Todd,21,219
Kentucky,Wayne,21,231
Kentucky,Wolfe,21,237
Louisiana,Cameron,22,023
Louisiana,East Feliciana,22,037
Louisiana,West Baton Rouge,22,121
Maine,Androscoggin,23,001
Maine,Aroostook,23,003
Maine,Cumberland,23,005
Maine,Franklin,23,007
Maine,Hancock,23,009
Maine,Kennebec,23,011
Maine,Knox,23,013
Maine,Lincoln,23,015
Maine,Oxford,23,017
Maine,Penobscot,23,019
Maine,Piscataquis,23,021
Maine,Sagadahoc,23,023
Maine,Somerset,23,025
Maine,Waldo,23,027
Maine,Washington,23,029
Maine,York,23,031
Maryland,Charles,24,017
Maryland,St Marys,24,037
Massachusetts,Barnstable,25,001
Massachusetts,Berkshire,25,003
Massachusetts,Bristol,25,005
Massachusetts,Dukes,25,007
Massachusetts,Essex,25,009
Massachusetts,Franklin,25,011
Massachusetts,Hampden,25,013
Massachusetts,Hampshire,25,015
Massachusetts,Middlesex,25,017
Massachusetts,Nantucket,25,019
Massachusetts,Norfolk,25,021
Massachusetts,Plymouth,25,023
Massachusetts,Suffolk,25,025
Massachusetts,Worcester,25,027
Michigan,Chippewa,26,033
Michigan,Dickinson,26,043
Michigan,Luce,26,095
Michigan,Mackinac,26,097
Minnesota,Cook,27,031
Minnesota,Cottonwood,27,033
Minnesota,Jackson,27,063
Minnesota,Kanabec,27,065
Minnesota,Koochiching,27,071
Minnesota,Lake of The Woods,27,077
Minnesota,Martin,27,091
Minnesota,Mille Lacs,27,095
Minnesota,Nobles,27,105
Minnesota,Watonwan,27,165
Mississippi,Alcorn,28,003
Mississippi,Benton,28,009
Mississippi,Chickasaw,28,017
Mississippi,Clay,28,025
Mississippi,Itawamba,28,057
Mississippi,Jefferson,28,063
Mississippi,Kemper,28,069
Mississippi,Lafayette,28,071
Mississippi,Lee,28,081
Mississippi,Lowndes,28,087
Mississippi,Monroe,28,095
Mississippi,Noxubee,28,103
Mississippi,Oktibbeha,28,105
Mississippi,Pontotoc,28,115
Mississippi,Prentiss,28,117
Mississippi,Tippah,28,139
Mississippi,Tishomingo,28,141
Mississippi,Union,28,145
Mississippi,Winston,28,159
Missouri,Bollinger,29,017
Missouri,Butler,29,023
Missouri,Carter,29,035
Missouri,Douglas,29,067
Missouri,Howell,29,091
Missouri,Laclede,29,105
Missouri,Oregon,29,149
Missouri,Ozark,29,153
Missouri,Phelps,29,161
Missouri,Putnam,29,171
Missouri,Ripley,29,181
Missouri,Texas,29,215
Missouri,Wright,29,229
Montana,Daniels,30,019
Montana,Garfield,30,033
Montana,Lake,30,047
Montana,Petroleum,30,069
Montana,Treasure,30,103
Nebraska,Adams,31,001
Nebraska,Antelope,31,003
Nebraska,Arthur,31,005
Nebraska,Banner,31,007
Nebraska,Blaine,31,009
Nebraska,Boone,31,011
Nebraska,Box Butte,31,013
Nebraska,Boyd,31,015
Nebraska,Brown,31,017
Nebraska,Buffalo,31,019
Nebraska,Burt,31,021
Nebraska,Butler,31,023
Nebraska,Cass,31,025
Nebraska,Cedar,31,027
Nebraska,Chase,31,029
Nebraska,Cherry,31,031
Nebraska,Cheyenne,31,033
Nebraska,Clay,31,035
Nebraska,Colfax,31,037
Nebraska,Cuming,31,039
Nebraska,Custer,31,041
Nebraska,Dakota,31,043
Nebraska,Dawes,31,045
Nebraska,Dawson,31,047
Nebraska,Deuel,31,049
Nebraska,Dixon,31,051
Nebraska,Dodge,31,053
Nebraska,Douglas,31,055
Nebraska,Dundy,31,057
Nebraska,Fillmore,31,059
Nebraska,Franklin,31,061
Nebraska,Frontier,31,063
Nebraska,Furnas,31,065
Nebraska,Gage,31,067
Nebraska,Garden,31,069
Nebraska,Garfield,31,071
Nebraska,Gosper,31,073
Nebraska,Grant,31,075
Nebraska,Greeley,31,077
Nebraska,Hall,31,079
Nebraska,Hamilton,31,081
Nebraska,Harlan,31,083
Nebraska,Hayes,31,085
Nebraska,Hitchcock,31,087
Nebraska,Holt,31,089
Nebraska,Hooker,31,091
Nebraska,Howard,31,093
Nebraska,Jefferson,31,095
Nebraska,Johnson,31,097
Nebraska,Kearney,31,099
Nebraska,Keith,31,101
Nebraska,Keya Paha,31,103
Nebraska,Kimball,31,105
Nebraska,Knox,31,107
Nebraska,Lancaster,31,109
Nebraska,Lincoln,31,111
Nebraska,Logan,31,113
Nebraska,Loup,31,115
Nebraska,McPherson,31,117
Nebraska,Madison,31,119
Nebraska,Merrick,31,121
Nebraska,Morrill,31,123
Nebraska,Nance,31,125
Nebraska,Nemaha,31,127
Nebraska,Nuckolls,31,129
Nebraska,Otoe,31,131
Nebraska,Pawnee,31,133
Nebraska,Perkins,31,135
Nebraska,Phelps,31,137
Nebraska,Pierce,31,139
Nebraska,Platte,31,141
Nebraska,Polk,31,143
Nebraska,Red Willow,31,145
Nebraska,Richardson,31,147
Nebraska,Rock,31,149
Nebraska,Saline,31,151
Nebraska,Sarpy,31,153
Nebraska,Saunders,31,155
Nebraska,Scotts Bluff,31,157
Nebraska,Seward,31,159
Nebraska,Sheridan,31,161
Nebraska,Sherman,31,163
Nebraska,Sioux,31,165
Nebraska,Stanton,31,167
Nebraska,Thayer,31,169
Nebraska,Thomas,31,171
Nebraska,Thurston,31,173
Nebraska,Valley,31,175
Nebraska,Washington,31,177
Nebraska,Wayne,31,179
Nebraska,Webster,31,181
Nebraska,Wheeler,31,183
Nebraska,York,31,185
Nevada,White Pine,32,033
