"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"0500000US01001","Autauga County, Alabama","58239","*****","43755","311","11470","309","98","85","647","206","0","30","196","181","2073","471","858","323","1215","334",
"0500000US01003","Baldwin County, Alabama","227131","*****","192034","1411","19895","736","1259","378","2175","439","9","16","4163","1261","7596","1333","2934","810","4662","956",
"0500000US01005","Barbour County, Alabama","25259","*****","11495","198","11985","182","77","40","106","38","1","3","977","208","618","219","236","112","382","181",
"0500000US01007","Bibb County, Alabama","22412","*****","17020","113","5003","135","21","37","46","70","0","24","21","28","301","100","77","68","224","74",
"0500000US01009","Blount County, Alabama","58884","*****","54439","600","760","174","189","126","216","55","74","71","1243","460","1963","429","808","358","1155","230",
"0500000US01011","Bullock County, Alabama","10386","*****","2572","404","7164","97","0","20","46","51","0","20","411","399","193","134","101","92","92","84",
"0500000US01013","Butler County, Alabama","19181","*****","9894","88","8592","58","47","39","280","32","0","20","34","36","334","102","154","76","180","78",
"0500000US01015","Calhoun County, Alabama","116425","*****","84775","484","25017","426","256","126","876","199","185","171","1927","419","3389","546","792","329","2597","391",
"0500000US01017","Chambers County, Alabama","34834","*****","19827","119","13977","128","72","61","358","66","3","6","186","109","411","166","60","58","351","151",
"0500000US01019","Cherokee County, Alabama","24975","*****","22846","143","1167","154","67","51","37","72","0","24","244","110","614","188","116","109","498","152",
"0500000US01021","Chilton County, Alabama","44857","*****","36385","552","3959","310","633","381","210","81","0","27","1698","504","1972","381","780","253","1192","329",
"0500000US01023","Choctaw County, Alabama","12792","*****","7255","44","5284","103","7","9","15","21","0","20","95","49","136","94","0","20","136","94",
"0500000US01025","Clarke County, Alabama","23346","*****","12131","122","10593","85","25","30","105","33","0","24","185","115","307","131","40","50","267","142",
"0500000US01027","Clay County, Alabama","14184","*****","11650","162","1883","234","23","37","35","41","0","20","12","22","581","282","279","196","302","213",
"0500000US01029","Cleburne County, Alabama","15046","*****","14011","61","391","67","31","30","1","5","0","20","315","66","297","71","0","20","297","71",
"0500000US01031","Coffee County, Alabama","53043","*****","39137","405","8992","471","443","119","762","232","6","9","805","344","2898","456","539","166","2359","449",
"0500000US01033","Colbert County, Alabama","56789","*****","44400","142","9301","238","205","93","256","73","49","50","1276","244","1302","283","236","104","1066","247",
"0500000US01035","Conecuh County, Alabama","11778","*****","5901","20","5664","108","23","24","44","36","0","20","25","30","121","73","0","20","121","73",
"0500000US01037","Coosa County, Alabama","10442","*****","6911","121","3204","37","42","43","0","20","0","20","79","92","206","84","93","71","113","43",
"0500000US01039","Covington County, Alabama","37490","*****","31511","150","4621","171","126","74","230","61","32","40","186","143","784","213","63","56","721","200",
