plant_code,plant_name,utility_na,utility_id,sector_nam,city,county,statename,zip,street_add,primsource,install_mw,total_mw,solar_mw,source_des,tech_desc,source,period,latitude,longitude,WKT,
10029,General Electric Aircraft Engines,General Electric Aircraft Engines,7049,Industrial Non-CHP,Lynn,Essex,Massachusetts,1910,1000 Western Avenue,solar,2.1,2.1,2.1,Solar = 2.1 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",202108,42.45,-70.9739,POINT Z (-70.9739 42.450000000000074 0),Massachusetts
10437,Sunray 2,"Sunray Energy 2, LLC",60246,IPP Non-CHP,Daggett,San Bernardino,California,92327,35100 Santa Fe Street,solar,20,20,20,Solar = 20 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",202108,34.863356,-116.827627,POINT Z (-116.82762700000005 34.863356000000074 0),California
10438,Sunray 3,Sunray Energy 3 LLC,60247,IPP Non-CHP,Daggett,San Bernardino,California,92327,35100 Santa Fe St,solar,13.8,13.8,13.8,Solar = 13.8 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",202108,34.863356,-116.827627,POINT Z (-116.82762700000005 34.863356000000074 0),Arizona
10444,SEGS VIII,Terra-Gen Operating Co-Solar,61950,IPP Non-CHP,Hinkley,San Bernardino,California,92347,43880 Harper Lake Road,solar,92,80,80,Solar = 80 MW,Solar Thermal without Energy Storage,"EIA-860, EIA-860M and EIA-923",202108,35.0308,-117.3563,POINT Z (-117.35630000000009 35.03080000000018 0),Nevada
10446,SEGS IX,Terra-Gen Operating Co-Solar,61950,IPP Non-CHP,Hinkley,San Bernardino,California,92347,43880 Harper Lake Road,solar,92,88,88,Solar = 88 MW,Solar Thermal without Energy Storage,"EIA-860, EIA-860M and EIA-923",202108,35.033,-117.338,POINT Z (-117.33800000000005 35.0330000000001 0),Colorado
56228,Prescott Airport,Arizona Public Service Co,803,Electric Utility,Prescott,Yavapai,Arizona,86301,Melville Road,solar,3,3,3,Solar = 3 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",202108,34.6584,-112.4008,POINT Z (-112.40080000000005 34.6584000000001 0),Hawaii
56405,Nevada Solar One,Acciona Solar Power,55744,IPP Non-CHP,Boulder City,Clark,Nevada,89005,602 Eldorado Valley Dr,solar,75.7,68.5,68.5,Solar = 68.5 MW,Solar Thermal without Energy Storage,"EIA-860, EIA-860M and EIA-923",202108,35.799798,-114.98173,POINT Z (-114.98173000000006 35.7997980000001 0),New Jersey
56481,SunE Alamosa,SunE Alamosa1 LLC,54902,IPP Non-CHP,Hooper,Alamosa,Colorado,81136,8900 Lane 8N,solar,8.2,7.7,7.7,Solar = 7.7 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",202108,37.690304,-105.880501,POINT Z (-105.88050100000005 37.69030400000003 0),North Carolina
56568,Nellis Air Force Base Solar Array,Solar Star NAFB LLC,56203,Commercial Non-CHP,Las Vegas,Clark,Nevada,89191,North Las Vegas Blvd,solar,14,14,14,Solar = 14 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",202108,36.260278,-115.0544,POINT Z (-115.05440000000007 36.26027800000005 0),Florida
56667,Lanai Solar-Electric Plant,Lanai Sustainability Research LLC,55910,IPP Non-CHP,Lanai City,Maui,Hawaii,96763,Manele Road & Kaumalapau Hwy,solar,1.2,1.2,1.2,Solar = 1.2 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",202108,20.7667,-156.9233,POINT Z (-156.9233000000001 20.766700000000043 0),Pennsylvania
