GHI,Protected_Land,Habitat,Slope,Population_Density,Distance_to_Substation,Land_Cover,geometry,Wattage,GEOID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE
5.0,76.16214096657191,66.12685030879325,78.11330335122588,11.896878646441074,77.08999117733555,66.79457420571595,POINT Z (-70.9739 42.450000000000074 0),2.1,250092072001,25,009,207200,1
90.0,63.03744730908734,53.76580727379669,58.35408293304578,100.0,78.43642780119596,90.08910891089108,POINT Z (-116.82762700000005 34.863356000000074 0),20.0,060710103004,06,071,010300,4
90.0,63.03744730908734,53.76580727379669,58.35408293304578,100.0,78.43642780119596,90.08910891089108,POINT Z (-116.82762700000005 34.863356000000074 0),13.8,060710103004,06,071,010300,4
90.0,57.26497402215469,43.30359768650133,96.5155376923831,100.0,55.48034506420939,90.63523184001569,POINT Z (-117.35630000000009 35.03080000000018 0),80.0,060710116021,06,071,011602,1
90.0,58.406038623664344,43.68885403391824,95.2358592294873,100.0,53.5266150377414,90.95725909224586,POINT Z (-117.33800000000005 35.0330000000001 0),88.0,060710116021,06,071,011602,1
89.53435937653171,98.43152632094893,46.36947358102147,75.86815018135476,64.74120184295657,70.66218998137437,88.61925301441035,POINT Z (-112.40080000000005 34.6584000000001 0),3.0,040250003021,04,025,000302,1
88.89716694441721,79.1922360552887,53.4555435741594,70.4550534261347,100.0,81.22537006175865,89.40025487697285,POINT Z (-114.98173000000006 35.7997980000001 0),68.5,320030057032,32,003,005703,2
85.0,81.37241446916968,63.581021468483485,100.0,100.0,66.72434075090678,89.18439368689344,POINT Z (-105.88050100000005 37.69030400000003 0),7.7,080039600001,08,003,960000,1
90.0,77.31840015684737,72.15076953239878,79.52563474169199,55.93961376335653,80.37006175865112,85.70385256347417,POINT Z (-115.05440000000007 36.26027800000005 0),14.0,320030060011,32,003,006001,1
80.02989902950691,90.27448289383393,46.001862562493876,100.0,87.6203313400647,51.39937261052838,85.29781393980983,POINT Z (-120.36580000000012 36.75750000000015 0),5.0,060190083013,06,019,008301,3
90.0,78.57759043231056,82.46005293598667,92.06587589452015,100.0,79.47799235369081,92.97245368101167,POINT Z (-112.95594000000004 32.92229400000021 0),295.6,040137233052,04,013,723305,2
68.43985883736889,98.37711989020684,77.66787569846093,99.10900892069405,23.478090383295754,71.05430840113715,78.89755906283698,POINT Z (-119.7416650000001 36.80984100000012 0),1.0,060190054081,06,019,005408,1
78.68885403391825,97.6487599254975,90.84599549063817,81.39819625526908,13.220272522301736,90.08283501617488,75.12969316733654,POINT Z (-118.14805600000007 34.0402780000001 0),0.8,060375304001,06,037,530400,1
20.0,96.21213606509166,68.68346240564651,97.43280070581315,86.28467797274777,88.13792765415155,87.77913930006862,POINT Z (-104.69714900000008 39.836789000000124 0),1.9,080319800011,08,031,980001,1
90.0,97.71002842858543,71.60817566905206,97.18155082835017,96.25281835114204,51.72041956670915,89.91941966473875,POINT Z (-117.6933000000001 34.56440000000013 0),1.2,060379001021,06,037,900102,1
55.0,96.98656994412312,32.9457896284678,89.80021566513086,88.53004607391432,76.00235271051858,95.15380845015194,POINT Z (-121.16469000000008 38.44979000000009 0),1.0,060670086021,06,067,008602,1
